

Performance Summary

,All Trades,Long Trades,Short Trades,
5/23/2019 - 5/12/2023,($1100.00),-1.05%,0.96,51,37.25%,
5/22/2019 - 5/12/2023,($1100.00),-1.05%,0.96,51,37.25%,
5/21/2019 - 5/12/2023,($1100.00),-1.05%,0.96,51,37.25%,
5/20/2019 - 5/12/2023,($1100.00),-1.05%,0.96,51,37.25%,
5/19/2019 - 5/12/2023,($1100.00),-1.05%,0.96,51,37.25%,
5/18/2019 - 5/12/2023,($1100.00),-1.05%,0.96,51,37.25%,
5/17/2019 - 5/12/2023,($1100.00),-1.05%,0.96,51,37.25%,
5/16/2019 - 5/12/2023,($1100.00),-1.05%,0.96,51,37.25%,
5/15/2019 - 5/12/2023,($1330.00),-1.26%,0.95,52,36.54%,
5/14/2019 - 5/12/2023,($1260.00),-1.20%,0.95,52,36.54%,
5/13/2019 - 5/12/2023,($1500.00),-1.42%,0.95,52,36.54%,
5/12/2019 - 5/12/2023,($1500.00),-1.42%,0.95,52,36.54%,
5/11/2019 - 5/12/2023,($1500.00),-1.42%,0.95,52,36.54%,
5/10/2019 - 5/12/2023,($1730.00),-1.64%,0.94,52,36.54%,
5/9/2019 - 5/12/2023,($1460.00),-1.39%,0.95,52,36.54%,
5/8/2019 - 5/12/2023,($1410.00),-1.34%,0.95,52,36.54%,
5/7/2019 - 5/12/2023,($1860.00),-1.76%,0.93,52,36.54%,
5/6/2019 - 5/12/2023,($2090.00),-1.97%,0.93,52,36.54%,
5/5/2019 - 5/12/2023,($2090.00),-1.97%,0.93,52,36.54%,
5/4/2019 - 5/12/2023,($2090.00),-1.97%,0.93,52,36.54%,
5/3/2019 - 5/12/2023,($2090.00),-1.97%,0.93,52,36.54%,
5/2/2019 - 5/12/2023,($2580.00),-2.42%,0.91,53,35.85%,
5/1/2019 - 5/12/2023,($2220.00),-2.09%,0.92,53,35.85%,
4/30/2019 - 5/12/2023,($2020.00),-1.91%,0.93,53,37.74%,
4/29/2019 - 5/12/2023,($2440.00),-2.30%,0.91,53,35.85%,
4/28/2019 - 5/12/2023,($2440.00),-2.30%,0.91,53,35.85%,
4/27/2019 - 5/12/2023,($2440.00),-2.30%,0.91,53,35.85%,
4/26/2019 - 5/12/2023,($3030.00),-2.83%,0.89,53,35.85%,
4/25/2019 - 5/12/2023,($3290.00),-3.07%,0.89,53,35.85%,
4/24/2019 - 5/12/2023,($2960.00),-2.77%,0.90,53,35.85%,
4/23/2019 - 5/12/2023,($2420.00),-2.28%,0.91,53,35.85%,
4/22/2019 - 5/12/2023,($1950.00),-1.84%,0.93,53,37.74%,
4/21/2019 - 5/12/2023,($1950.00),-1.84%,0.93,53,37.74%,
4/20/2019 - 5/12/2023,($1950.00),-1.84%,0.93,53,37.74%,
4/19/2019 - 5/12/2023,($1950.00),-1.84%,0.93,53,37.74%,
4/18/2019 - 5/12/2023,($1810.00),-1.71%,0.94,53,37.74%,
4/17/2019 - 5/12/2023,($2250.00),-2.12%,0.92,53,35.85%,
4/16/2019 - 5/12/2023,($1800.00),-1.70%,0.94,53,37.74%,
4/15/2019 - 5/12/2023,($1670.00),-1.58%,0.94,53,37.74%,
4/14/2019 - 5/12/2023,($1670.00),-1.58%,0.94,53,37.74%,
4/13/2019 - 5/12/2023,($1670.00),-1.58%,0.94,53,37.74%,
4/12/2019 - 5/12/2023,($1980.00),-1.87%,0.93,53,37.74%,
4/11/2019 - 5/12/2023,($1550.00),-1.47%,0.94,53,37.74%,
4/10/2019 - 5/12/2023,($1620.00),-1.54%,0.94,53,37.74%,
4/9/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
4/8/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
4/7/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
4/6/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
4/5/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
4/4/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
4/3/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
4/2/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
4/1/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
3/31/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
3/30/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
3/29/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
3/28/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
3/27/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
3/26/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
3/25/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
3/24/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
3/23/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
3/22/2019 - 5/12/2023,($1710.00),-1.62%,0.94,53,37.74%,
3/21/2019 - 5/12/2023,($2010.00),-1.90%,0.93,54,37.04%,
3/20/2019 - 5/12/2023,($2570.00),-2.41%,0.91,54,37.04%,
3/19/2019 - 5/12/2023,($2510.00),-2.36%,0.91,54,37.04%,
3/18/2019 - 5/12/2023,($2620.00),-2.46%,0.91,54,37.04%,
3/17/2019 - 5/12/2023,($2620.00),-2.46%,0.91,54,37.04%,
3/16/2019 - 5/12/2023,($2620.00),-2.46%,0.91,54,37.04%,
3/15/2019 - 5/12/2023,($2720.00),-2.55%,0.91,54,37.04%,
3/14/2019 - 5/12/2023,($2720.00),-2.55%,0.91,54,37.04%,
3/13/2019 - 5/12/2023,($2650.00),-2.49%,0.91,55,38.18%,
3/12/2019 - 5/12/2023,($2820.00),-2.64%,0.90,55,36.36%,
3/11/2019 - 5/12/2023,($2810.00),-2.63%,0.90,55,36.36%,
3/10/2019 - 5/12/2023,($2810.00),-2.63%,0.90,55,36.36%,
3/9/2019 - 5/12/2023,($2810.00),-2.63%,0.90,55,36.36%,
3/8/2019 - 5/12/2023,($3060.00),-2.86%,0.90,55,36.36%,
3/7/2019 - 5/12/2023,($2430.00),-2.29%,0.92,55,38.18%,
3/6/2019 - 5/12/2023,($3240.00),-3.03%,0.89,55,36.36%,
3/5/2019 - 5/12/2023,($3360.00),-3.13%,0.89,55,36.36%,
3/4/2019 - 5/12/2023,($2610.00),-2.45%,0.91,55,38.18%,
3/3/2019 - 5/12/2023,($2610.00),-2.45%,0.91,55,38.18%,
3/2/2019 - 5/12/2023,($2610.00),-2.45%,0.91,55,38.18%,
3/1/2019 - 5/12/2023,($2330.00),-2.19%,0.92,55,38.18%,
2/28/2019 - 5/12/2023,($3210.00),-3.00%,0.89,56,37.50%,
2/27/2019 - 5/12/2023,($2850.00),-2.67%,0.90,56,37.50%,
2/26/2019 - 5/12/2023,($2590.00),-2.43%,0.91,56,37.50%,
2/25/2019 - 5/12/2023,($2920.00),-2.73%,0.90,56,37.50%,
2/24/2019 - 5/12/2023,($2920.00),-2.73%,0.90,56,37.50%,
2/23/2019 - 5/12/2023,($2920.00),-2.73%,0.90,56,37.50%,
2/22/2019 - 5/12/2023,($2770.00),-2.60%,0.91,56,37.50%,
2/21/2019 - 5/12/2023,($3210.00),-3.00%,0.89,56,37.50%,
2/20/2019 - 5/12/2023,($3560.00),-3.31%,0.88,56,37.50%,
2/19/2019 - 5/12/2023,($3430.00),-3.20%,0.89,56,37.50%,
2/18/2019 - 5/12/2023,($3430.00),-3.20%,0.89,56,37.50%,
2/17/2019 - 5/12/2023,($3430.00),-3.20%,0.89,56,37.50%,
2/16/2019 - 5/12/2023,($3430.00),-3.20%,0.89,56,37.50%,
2/15/2019 - 5/12/2023,($2820.00),-2.64%,0.90,56,37.50%,
2/14/2019 - 5/12/2023,($2850.00),-2.67%,0.90,56,37.50%,
2/13/2019 - 5/12/2023,($2700.00),-2.53%,0.91,56,37.50%,
2/12/2019 - 5/12/2023,($2580.00),-2.42%,0.91,56,37.50%,
2/11/2019 - 5/12/2023,($2330.00),-2.19%,0.92,56,39.29%,
2/10/2019 - 5/12/2023,($2330.00),-2.19%,0.92,56,39.29%,
2/9/2019 - 5/12/2023,($2330.00),-2.19%,0.92,56,39.29%,
2/8/2019 - 5/12/2023,($2680.00),-2.52%,0.91,56,37.50%,
2/7/2019 - 5/12/2023,($2680.00),-2.52%,0.91,56,37.50%,
2/6/2019 - 5/12/2023,($2680.00),-2.52%,0.91,56,37.50%,
2/5/2019 - 5/12/2023,($2680.00),-2.52%,0.91,56,37.50%,
2/4/2019 - 5/12/2023,($2680.00),-2.52%,0.91,56,37.50%,
2/3/2019 - 5/12/2023,($2680.00),-2.52%,0.91,56,37.50%,
2/2/2019 - 5/12/2023,($2680.00),-2.52%,0.91,56,37.50%,
2/1/2019 - 5/12/2023,($2680.00),-2.52%,0.91,56,37.50%,
1/31/2019 - 5/12/2023,($2680.00),-2.52%,0.91,56,37.50%,
1/30/2019 - 5/12/2023,($3080.00),-2.88%,0.90,57,36.84%,
1/29/2019 - 5/12/2023,($3410.00),-3.18%,0.89,57,36.84%,
1/28/2019 - 5/12/2023,($4100.00),-3.80%,0.87,58,36.21%,
1/27/2019 - 5/12/2023,($4100.00),-3.80%,0.87,58,36.21%,
1/26/2019 - 5/12/2023,($4100.00),-3.80%,0.87,58,36.21%,
1/25/2019 - 5/12/2023,($3830.00),-3.56%,0.87,58,36.21%,
1/24/2019 - 5/12/2023,($4030.00),-3.74%,0.87,58,36.21%,
1/23/2019 - 5/12/2023,($3970.00),-3.68%,0.87,58,36.21%,
1/22/2019 - 5/12/2023,($3420.00),-3.19%,0.89,58,37.93%,
1/21/2019 - 5/12/2023,($3420.00),-3.19%,0.89,58,37.93%,
1/20/2019 - 5/12/2023,($3420.00),-3.19%,0.89,58,37.93%,
1/19/2019 - 5/12/2023,($3420.00),-3.19%,0.89,58,37.93%,
1/18/2019 - 5/12/2023,($2910.00),-2.73%,0.90,58,37.93%,
1/17/2019 - 5/12/2023,($3360.00),-3.13%,0.89,58,37.93%,
1/16/2019 - 5/12/2023,($3790.00),-3.52%,0.87,58,36.21%,
1/15/2019 - 5/12/2023,($3030.00),-2.83%,0.90,58,37.93%,
1/14/2019 - 5/12/2023,($2830.00),-2.65%,0.91,58,37.93%,
1/13/2019 - 5/12/2023,($2830.00),-2.65%,0.91,58,37.93%,
1/12/2019 - 5/12/2023,($2830.00),-2.65%,0.91,58,37.93%,
1/11/2019 - 5/12/2023,($2930.00),-2.74%,0.90,58,37.93%,
1/10/2019 - 5/12/2023,($2970.00),-2.78%,0.90,58,37.93%,
1/9/2019 - 5/12/2023,($2650.00),-2.49%,0.91,58,37.93%,
1/8/2019 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
1/7/2019 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
1/6/2019 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
1/5/2019 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
1/4/2019 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
1/3/2019 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
1/2/2019 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
1/1/2019 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
12/31/2018 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
12/30/2018 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
12/29/2018 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
12/28/2018 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
12/27/2018 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
12/26/2018 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
12/25/2018 - 5/12/2023,($2570.00),-2.41%,0.91,58,37.93%,
12/24/2018 - 5/12/2023,($2010.00),-1.90%,0.93,59,38.98%,
12/23/2018 - 5/12/2023,($2010.00),-1.90%,0.93,59,38.98%,
12/22/2018 - 5/12/2023,($2010.00),-1.90%,0.93,59,38.98%,
12/21/2018 - 5/12/2023,($1960.00),-1.85%,0.93,59,38.98%,
12/20/2018 - 5/12/2023,($2480.00),-2.33%,0.92,59,38.98%,
12/19/2018 - 5/12/2023,($2310.00),-2.18%,0.92,59,38.98%,
12/18/2018 - 5/12/2023,($1650.00),-1.56%,0.95,59,38.98%,
12/17/2018 - 5/12/2023,($1670.00),-1.58%,0.94,59,38.98%,
12/16/2018 - 5/12/2023,($1670.00),-1.58%,0.94,59,38.98%,
12/15/2018 - 5/12/2023,($1670.00),-1.58%,0.94,59,38.98%,
12/14/2018 - 5/12/2023,($1870.00),-1.77%,0.94,59,38.98%,
12/13/2018 - 5/12/2023,($1020.00),-0.97%,0.97,59,38.98%,
12/12/2018 - 5/12/2023,($440.00),-0.42%,0.99,59,38.98%,
12/11/2018 - 5/12/2023,($1370.00),-1.30%,0.95,59,38.98%,
12/10/2018 - 5/12/2023,($1670.00),-1.58%,0.94,59,38.98%,
12/9/2018 - 5/12/2023,($1670.00),-1.58%,0.94,59,38.98%,
12/8/2018 - 5/12/2023,($1670.00),-1.58%,0.94,59,38.98%,
12/7/2018 - 5/12/2023,($780.00),-0.75%,0.97,59,38.98%,
12/6/2018 - 5/12/2023,($460.00),-0.44%,0.98,59,38.98%,
12/5/2018 - 5/12/2023,($1130.00),-1.08%,0.96,59,38.98%,
12/4/2018 - 5/12/2023,($1380.00),-1.31%,0.95,59,38.98%,
12/3/2018 - 5/12/2023,($1310.00),-1.25%,0.96,59,38.98%,
12/2/2018 - 5/12/2023,($1310.00),-1.25%,0.96,59,38.98%,
12/1/2018 - 5/12/2023,($1310.00),-1.25%,0.96,59,38.98%,
11/30/2018 - 5/12/2023,($1080.00),-1.03%,0.96,59,38.98%,
11/29/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/28/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/27/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/26/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/25/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/24/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/23/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/22/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/21/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/20/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/19/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/18/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/17/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/16/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/15/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/14/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/13/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/12/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/11/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/10/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/9/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/8/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/7/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/6/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/5/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/4/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/3/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/2/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
11/1/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
10/31/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
10/30/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
10/29/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
10/28/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
10/27/2018 - 5/12/2023,($570.00),-0.55%,0.98,59,38.98%,
10/26/2018 - 5/12/2023,($300.00),-0.29%,0.99,60,40.00%,
10/25/2018 - 5/12/2023,$430.00,0.42%,1.01,60,40.00%,
10/24/2018 - 5/12/2023,($200.00),-0.19%,0.99,60,40.00%,
10/23/2018 - 5/12/2023,($260.00),-0.25%,0.99,60,40.00%,
10/22/2018 - 5/12/2023,$180.00,0.17%,1.01,60,40.00%,
10/21/2018 - 5/12/2023,$180.00,0.17%,1.01,60,40.00%,
10/20/2018 - 5/12/2023,$180.00,0.17%,1.01,60,40.00%,
10/19/2018 - 5/12/2023,$400.00,0.39%,1.01,60,40.00%,
10/18/2018 - 5/12/2023,($330.00),-0.32%,0.99,60,40.00%,
10/17/2018 - 5/12/2023,($350.00),-0.34%,0.99,60,40.00%,
10/16/2018 - 5/12/2023,$420.00,0.41%,1.01,60,40.00%,
10/15/2018 - 5/12/2023,$290.00,0.28%,1.01,60,40.00%,
10/14/2018 - 5/12/2023,$290.00,0.28%,1.01,60,40.00%,
10/13/2018 - 5/12/2023,$290.00,0.28%,1.01,60,40.00%,
10/12/2018 - 5/12/2023,$770.00,0.75%,1.03,60,40.00%,
10/11/2018 - 5/12/2023,$840.00,0.82%,1.03,60,40.00%,
10/10/2018 - 5/12/2023,$650.00,0.63%,1.02,60,40.00%,
10/9/2018 - 5/12/2023,$750.00,0.73%,1.02,60,40.00%,
10/8/2018 - 5/12/2023,$1390.00,1.36%,1.05,60,40.00%,
10/7/2018 - 5/12/2023,$1390.00,1.36%,1.05,60,40.00%,
10/6/2018 - 5/12/2023,$1390.00,1.36%,1.05,60,40.00%,
10/5/2018 - 5/12/2023,$1120.00,1.09%,1.04,61,39.34%,
10/4/2018 - 5/12/2023,$1210.00,1.18%,1.04,61,39.34%,
10/3/2018 - 5/12/2023,$1280.00,1.25%,1.04,61,39.34%,
10/2/2018 - 5/12/2023,$1280.00,1.25%,1.04,61,39.34%,
10/1/2018 - 5/12/2023,$1280.00,1.25%,1.04,61,39.34%,
9/30/2018 - 5/12/2023,$1280.00,1.25%,1.04,61,39.34%,
9/29/2018 - 5/12/2023,$1280.00,1.25%,1.04,61,39.34%,
9/28/2018 - 5/12/2023,$1280.00,1.25%,1.04,61,39.34%,
9/27/2018 - 5/12/2023,$960.00,0.93%,1.03,62,38.71%,
9/26/2018 - 5/12/2023,$710.00,0.69%,1.02,62,38.71%,
9/25/2018 - 5/12/2023,$430.00,0.42%,1.01,62,38.71%,
9/24/2018 - 5/12/2023,($520.00),-0.50%,0.98,63,38.10%,
9/23/2018 - 5/12/2023,($520.00),-0.50%,0.98,63,38.10%,
9/22/2018 - 5/12/2023,($520.00),-0.50%,0.98,63,38.10%,
9/21/2018 - 5/12/2023,($70.00),-0.07%,1.00,63,38.10%,
9/20/2018 - 5/12/2023,($180.00),-0.17%,0.99,63,38.10%,
9/19/2018 - 5/12/2023,$460.00,0.44%,1.01,63,39.68%,
9/18/2018 - 5/12/2023,$280.00,0.27%,1.01,63,38.10%,
9/17/2018 - 5/12/2023,$120.00,0.12%,1.00,63,38.10%,
9/16/2018 - 5/12/2023,$120.00,0.12%,1.00,63,38.10%,
9/15/2018 - 5/12/2023,$120.00,0.12%,1.00,63,38.10%,
9/14/2018 - 5/12/2023,$1070.00,1.04%,1.03,63,39.68%,
9/13/2018 - 5/12/2023,$1190.00,1.16%,1.04,63,39.68%,
9/12/2018 - 5/12/2023,$820.00,0.80%,1.03,63,39.68%,
9/11/2018 - 5/12/2023,$890.00,0.86%,1.03,63,39.68%,
9/10/2018 - 5/12/2023,$590.00,0.57%,1.02,63,39.68%,
9/9/2018 - 5/12/2023,$590.00,0.57%,1.02,63,39.68%,
9/8/2018 - 5/12/2023,$590.00,0.57%,1.02,63,39.68%,
9/7/2018 - 5/12/2023,$730.00,0.71%,1.02,63,39.68%,
9/6/2018 - 5/12/2023,$950.00,0.92%,1.03,63,39.68%,
9/5/2018 - 5/12/2023,$1160.00,1.13%,1.04,63,39.68%,
9/4/2018 - 5/12/2023,$1220.00,1.19%,1.04,63,39.68%,
9/3/2018 - 5/12/2023,$1220.00,1.19%,1.04,63,39.68%,
9/2/2018 - 5/12/2023,$1220.00,1.19%,1.04,63,39.68%,
9/1/2018 - 5/12/2023,$1220.00,1.19%,1.04,63,39.68%,
8/31/2018 - 5/12/2023,$750.00,0.73%,1.02,63,39.68%,
8/30/2018 - 5/12/2023,$860.00,0.83%,1.03,63,39.68%,
8/29/2018 - 5/12/2023,$860.00,0.83%,1.03,63,39.68%,
8/28/2018 - 5/12/2023,$860.00,0.83%,1.03,63,39.68%,
8/27/2018 - 5/12/2023,$860.00,0.83%,1.03,63,39.68%,
8/26/2018 - 5/12/2023,$860.00,0.83%,1.03,63,39.68%,
8/25/2018 - 5/12/2023,$860.00,0.83%,1.03,63,39.68%,
8/24/2018 - 5/12/2023,$900.00,0.87%,1.03,64,40.63%,
8/23/2018 - 5/12/2023,$1140.00,1.11%,1.04,64,40.63%,
8/22/2018 - 5/12/2023,$1680.00,1.64%,1.05,64,40.63%,
8/21/2018 - 5/12/2023,$2440.00,2.41%,1.08,64,40.63%,
8/20/2018 - 5/12/2023,$2890.00,2.86%,1.09,64,40.63%,
8/19/2018 - 5/12/2023,$2890.00,2.86%,1.09,64,40.63%,
8/18/2018 - 5/12/2023,$2890.00,2.86%,1.09,64,40.63%,
8/17/2018 - 5/12/2023,$2810.00,2.78%,1.09,64,40.63%,
8/16/2018 - 5/12/2023,$2920.00,2.89%,1.09,64,40.63%,
8/15/2018 - 5/12/2023,$2860.00,2.83%,1.09,64,40.63%,
8/14/2018 - 5/12/2023,$3080.00,3.06%,1.10,64,40.63%,
8/13/2018 - 5/12/2023,$3160.00,3.14%,1.10,64,40.63%,
8/12/2018 - 5/12/2023,$3160.00,3.14%,1.10,64,40.63%,
8/11/2018 - 5/12/2023,$3160.00,3.14%,1.10,64,40.63%,
8/10/2018 - 5/12/2023,$3070.00,3.05%,1.10,64,40.63%,
8/9/2018 - 5/12/2023,$2910.00,2.88%,1.09,64,40.63%,
8/8/2018 - 5/12/2023,$2960.00,2.93%,1.09,64,40.63%,
8/7/2018 - 5/12/2023,$2680.00,2.65%,1.09,64,40.63%,
8/6/2018 - 5/12/2023,$2860.00,2.83%,1.09,64,40.63%,
8/5/2018 - 5/12/2023,$2860.00,2.83%,1.09,64,40.63%,
8/4/2018 - 5/12/2023,$2860.00,2.83%,1.09,64,40.63%,
8/3/2018 - 5/12/2023,$2860.00,2.83%,1.09,64,40.63%,
8/2/2018 - 5/12/2023,$2860.00,2.83%,1.09,64,40.63%,
8/1/2018 - 5/12/2023,$2860.00,2.83%,1.09,64,40.63%,
7/31/2018 - 5/12/2023,$2000.00,1.96%,1.06,65,40.00%,
7/30/2018 - 5/12/2023,$1860.00,1.82%,1.06,65,40.00%,
7/29/2018 - 5/12/2023,$1860.00,1.82%,1.06,65,40.00%,
7/28/2018 - 5/12/2023,$1860.00,1.82%,1.06,65,40.00%,
7/27/2018 - 5/12/2023,$1860.00,1.82%,1.06,65,40.00%,
7/26/2018 - 5/12/2023,$1860.00,1.82%,1.06,65,40.00%,
7/25/2018 - 5/12/2023,$1860.00,1.82%,1.06,65,40.00%,
7/24/2018 - 5/12/2023,$2270.00,2.23%,1.07,66,40.91%,
7/23/2018 - 5/12/2023,$2720.00,2.69%,1.08,66,40.91%,
7/22/2018 - 5/12/2023,$2720.00,2.69%,1.08,66,40.91%,
7/21/2018 - 5/12/2023,$2720.00,2.69%,1.08,66,40.91%,
7/20/2018 - 5/12/2023,$2410.00,2.38%,1.07,66,40.91%,
7/19/2018 - 5/12/2023,$2740.00,2.71%,1.08,66,40.91%,
7/18/2018 - 5/12/2023,$3440.00,3.43%,1.11,66,40.91%,
7/17/2018 - 5/12/2023,$3270.00,3.25%,1.10,66,40.91%,
7/16/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/15/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/14/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/13/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/12/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/11/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/10/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/9/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/8/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/7/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/6/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/5/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/4/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/3/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/2/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
7/1/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/30/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/29/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/28/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/27/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/26/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/25/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/24/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/23/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/22/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/21/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/20/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/19/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/18/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/17/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/16/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/15/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/14/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/13/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/12/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/11/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/10/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/9/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/8/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/7/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/6/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/5/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/4/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
