

Performance Summary

,All Trades,Long Trades,Short Trades,
41,Sell Short,3/4/2021 10:43,Short,$2970,$0.00,1,$2000.00,6.73%,$2000.00,98.04%,,$0.00,$0.00
,Buy to Cover,3/24/2021 10:43,Profit Target,$2770,,$2000.00,$10200.00,,($40.00),100.00%,98.04%,$0.00,$0.00
42,Buy,4/6/2021 13:30,Buy,$2736,$0.00,1,$70.00,0.26%,$720.00,51.06%,,$0.00,$0.00
,Sell,4/20/2021 13:30,Short,$2743,,$70.00,$10270.00,,($690.00),53.90%,4.96%,$0.00,$0.00
43,Sell Short,4/20/2021 13:30,Short,$2743,$0.00,1,($680.00),-2.48%,$1210.00,55.00%,,$0.00,$0.00
,Buy to Cover,5/12/2021 13:30,Buy,$2811,,($680.00),$9590.00,,($990.00),14.09%,-30.91%,$0.00,$0.00
44,Buy,5/12/2021 13:30,Buy,$2811,$0.00,1,($1000.00),-3.56%,$460.00,31.51%,,$0.00,$0.00
,Sell,5/24/2021 13:30,Stop Loss,$2711,,($1000.00),$8590.00,,($1000.00),0.00%,-68.49%,$0.00,$0.00
45,Buy,6/17/2021 10:43,Buy,$2672,$0.00,1,($1000.00),-3.74%,$40.00,3.85%,,$0.00,$0.00
,Sell,7/6/2021 10:43,Stop Loss,$2572,,($1000.00),$7590.00,,($1000.00),0.00%,-96.15%,$0.00,$0.00
46,Sell Short,7/22/2021 10:43,Short,$2527,$0.00,1,($1000.00),-3.96%,$90.00,8.26%,,$0.00,$0.00
,Buy to Cover,7/26/2021 10:43,Stop Loss,$2627,,($1000.00),$6590.00,,($1000.00),0.00%,-91.74%,$0.00,$0.00
47,Sell Short,8/19/2021 13:30,Short,$2832,$0.00,1,$270.00,0.95%,$1100.00,91.67%,,$0.00,$0.00
,Buy to Cover,9/2/2021 13:30,Buy,$2805,,$270.00,$6860.00,,($100.00),30.83%,22.50%,$0.00,$0.00
48,Buy,9/2/2021 13:30,Buy,$2805,$0.00,1,$920.00,3.28%,$1920.00,75.29%,,$0.00,$0.00
,Sell,10/11/2021 13:30,Short,$2897,,$920.00,$7780.00,,($630.00),60.78%,36.08%,$0.00,$0.00
49,Sell Short,10/11/2021 13:30,Short,$2897,$0.00,1,$2000.00,6.90%,$2000.00,91.32%,,$0.00,$0.00
,Buy to Cover,11/2/2021 10:43,Profit Target,$2697,,$2000.00,$9780.00,,($190.00),100.00%,91.32%,$0.00,$0.00
50,Buy,11/10/2021 10:43,Buy,$2633,$0.00,1,($1000.00),-3.80%,$1270.00,55.95%,,$0.00,$0.00
,Sell,11/29/2021 13:30,Stop Loss,$2533,,($1000.00),$8780.00,,($1000.00),0.00%,-44.05%,$0.00,$0.00
51,Buy,12/2/2021 13:30,Buy,$2598,$0.00,1,$330.00,1.27%,$1270.00,84.11%,,$0.00,$0.00
,Sell,12/23/2021 10:43,Short,$2631,,$330.00,$9110.00,,($240.00),37.75%,21.85%,$0.00,$0.00
52,Sell Short,12/23/2021 10:43,Short,$2631,$0.00,1,($1000.00),-3.80%,$400.00,28.57%,,$0.00,$0.00
,Buy to Cover,12/30/2021 10:43,Stop Loss,$2731,,($1000.00),$8110.00,,($1000.00),0.00%,-71.43%,$0.00,$0.00
53,Sell Short,1/21/2022 10:43,Short,$2785,$0.00,1,($250.00),-0.90%,$1880.00,78.66%,,$0.00,$0.00
,Buy to Cover,2/8/2022 13:30,Buy,$2810,,($250.00),$7860.00,,($510.00),10.88%,-10.46%,$0.00,$0.00
54,Buy,2/8/2022 13:30,Buy,$2810,$0.00,1,($1000.00),-3.56%,$1300.00,56.52%,,$0.00,$0.00
,Sell,2/24/2022 10:43,Stop Loss,$2710,,($1000.00),$6860.00,,($1000.00),0.00%,-43.48%,$0.00,$0.00
55,Sell Short,2/24/2022 13:30,Short,$2700,$0.00,1,($1000.00),-3.70%,$1270.00,55.95%,,$0.00,$0.00
,Buy to Cover,3/10/2022 10:43,Stop Loss,$2800,,($1000.00),$5860.00,,($1000.00),0.00%,-44.05%,$0.00,$0.00
56,Buy,3/25/2022 13:30,Buy,$2682,$0.00,1,$270.00,1.01%,$990.00,76.15%,,$0.00,$0.00
,Sell,4/1/2022 13:30,Short,$2709,,$270.00,$6130.00,,($310.00),44.62%,20.77%,$0.00,$0.00
57,Sell Short,4/1/2022 13:30,Short,$2709,$0.00,1,$2000.00,7.38%,$2000.00,81.63%,,$0.00,$0.00
,Buy to Cover,5/6/2022 10:43,Profit Target,$2509,,$2000.00,$8130.00,,($450.00),100.00%,81.63%,$0.00,$0.00
58,Buy,5/13/2022 13:30,Buy,$2516,$0.00,1,($1000.00),-3.97%,$730.00,42.20%,,$0.00,$0.00
,Sell,6/13/2022 10:43,Stop Loss,$2416,,($1000.00),$7130.00,,($1000.00),0.00%,-57.80%,$0.00,$0.00
59,Buy,7/11/2022 13:30,Buy,$2386,$0.00,1,($1000.00),-4.19%,$60.00,5.66%,,$0.00,$0.00
,Sell,7/14/2022 10:43,Stop Loss,$2286,,($1000.00),$6130.00,,($1000.00),0.00%,-94.34%,$0.00,$0.00
60,Buy,7/25/2022 13:30,Buy,$2372,$0.00,1,($1000.00),-4.22%,$500.00,33.33%,,$0.00,$0.00
,Sell,8/4/2022 10:43,Stop Loss,$2272,,($1000.00),$5130.00,,($1000.00),0.00%,-66.67%,$0.00,$0.00
61,Buy,9/15/2022 13:30,Buy,$2338,$0.00,1,($1000.00),-4.28%,$290.00,22.48%,,$0.00,$0.00
,Sell,9/23/2022 10:43,Stop Loss,$2238,,($1000.00),$4130.00,,($1000.00),0.00%,-77.52%,$0.00,$0.00
62,Sell Short,11/11/2022 13:30,Short,$2505,$0.00,1,($1000.00),-3.99%,$1010.00,50.25%,,$0.00,$0.00
,Buy to Cover,12/22/2022 13:30,Stop Loss,$2605,,($1000.00),$3130.00,,($1000.00),0.00%,-49.75%,$0.00,$0.00
63,Sell Short,1/5/2023 10:43,Short,$2592,$0.00,1,($140.00),-0.54%,$1000.00,52.08%,,$0.00,$0.00
,Buy to Cover,1/26/2023 13:30,Buy,$2606,,($140.00),$2990.00,,($920.00),40.63%,-7.29%,$0.00,$0.00
64,Buy,1/26/2023 13:30,Buy,$2606,$0.00,1,$2000.00,7.67%,$2000.00,71.17%,,$0.00,$0.00
,Sell,3/1/2023 10:43,Profit Target,$2806,,$2000.00,$4990.00,,($810.00),100.00%,71.17%,$0.00,$0.00
65,Sell Short,3/31/2023 13:30,Short,$2873,$0.00,1,($1000.00),-3.48%,$710.00,41.52%,,$0.00,$0.00
,Buy to Cover,4/18/2023 13:30,Stop Loss,$2973,,($1000.00),$3990.00,,($1000.00),0.00%,-58.48%,$0.00,$0.00
66,Sell Short,4/24/2023 13:30,Short,$2964,,1,n/a,n/a,$1070.00,n/a,,$0.00,$0.00
,Buy to Cover,Open,n/a,$2977.00,,n/a,n/a,,($850.00),n/a,n/a,n/a,n/a

Trades List

#,Type,Date/Time,Signal,Symbol,Price,Roll Over Amt (USD),Profit/Loss,Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage,
1,Sell Short,7/16/2018 13:30,Short,@CC,$2702,$0.00,1,$2000.00,7.40%,$2000.00,98.52%,,$0.00,$0.00,
