Performance Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,All Trades,Long Trades,Short Trades,,,,,,,,,,,
33,Buy,1/21/2020,LE,$3321.75,$0.00,1,($1530.00),-0.90%,$812.50,35.14%,,$2.50,$12.50,
,Sell,1/24/2020,Stop Loss,$3291.75,,($1500.00),$28610.00,,($1500.00),0.00%,-64.86%,$2.50,$12.50,
34,Buy,1/26/2020,LE,$3270.25,$0.00,1,($1530.00),-0.92%,$0.00,0.00%,,$2.50,$12.50,
,Sell,1/27/2020,Stop Loss,$3240.25,,($1500.00),$27080.00,,($1500.00),0.00%,-100.00%,$2.50,$12.50,
35,Buy,1/27/2020,LE,$3240.00,$0.00,1,$4970.00,3.09%,$5000.00,78.90%,,$2.50,$12.50,
,Sell,02/05/2020,Profit Target,$3340.00,,$5000.00,$32050.00,,($1337.50),100.00%,78.90%,$2.50,$12.50,
36,Buy,02/09/2020,LE,$3322.75,$0.00,1,($1530.00),-0.90%,$3762.50,71.50%,,$2.50,$12.50,
,Sell,2/23/2020,Stop Loss,$3292.75,,($1500.00),$30520.00,,($1500.00),0.00%,-28.50%,$2.50,$12.50,
37,Buy,03/03/2020,LE,$2988.75,$0.00,1,$4970.00,3.35%,$5000.00,89.49%,,$2.50,$12.50,
,Sell,03/04/2020,Profit Target,$3088.75,,$5000.00,$35490.00,,($587.50),100.00%,89.49%,$2.50,$12.50,
38,Buy,03/11/2020,LE,$2738.75,$0.00,1,($1530.00),-1.10%,$1750.00,53.85%,,$2.50,$12.50,
,Sell,03/11/2020,Stop Loss,$2708.75,,($1500.00),$33960.00,,($1500.00),0.00%,-46.15%,$2.50,$12.50,
39,Buy,3/19/2020,LE,$2362.75,$0.00,1,$4970.00,4.23%,$5000.00,52.36%,,$2.50,$12.50,
,Sell,3/20/2020,Profit Target,$2462.75,,$5000.00,$38930.00,,($4550.00),100.00%,52.36%,$2.50,$12.50,
40,Buy,3/22/2020,LE,$2232.00,$0.00,1,($1530.00),-1.34%,$0.00,0.00%,,$2.50,$12.50,
,Sell,3/22/2020,Stop Loss,$2202.00,,($1500.00),$37400.00,,($1500.00),0.00%,-100.00%,$2.50,$12.50,
41,Buy,3/23/2020,LE,$2245.00,$0.00,1,$4970.00,4.45%,$5000.00,97.32%,,$2.50,$12.50,
,Sell,3/24/2020,Profit Target,$2345.00,,$5000.00,$42370.00,,($137.50),100.00%,97.32%,$2.50,$12.50,
42,Buy,3/29/2020,LE,$2470.75,$0.00,1,$4970.00,4.05%,$5000.00,87.72%,,$2.50,$12.50,
,Sell,3/30/2020,Profit Target,$2570.75,,$5000.00,$47340.00,,($700.00),100.00%,87.72%,$2.50,$12.50,
43,Buy,04/01/2020,LE,$2470.75,$0.00,1,($1530.00),-1.21%,$0.00,0.00%,,$2.50,$12.50,
,Sell,04/02/2020,Stop Loss,$2440.75,,($1500.00),$45810.00,,($1500.00),0.00%,-100.00%,$2.50,$12.50,
44,Buy,4/15/2020,LE,$2779.50,$0.00,1,$4970.00,3.60%,$5000.00,82.14%,,$2.50,$12.50,
,Sell,4/16/2020,Profit Target,$2879.50,,$5000.00,$50780.00,,($1087.50),100.00%,82.14%,$2.50,$12.50,
45,Buy,4/20/2020,LE,$2818.75,$0.00,1,($1530.00),-1.06%,$1312.50,46.67%,,$2.50,$12.50,
,Sell,4/20/2020,Stop Loss,$2788.75,,($1500.00),$49250.00,,($1500.00),0.00%,-53.33%,$2.50,$12.50,
46,Buy,4/21/2020,LE,$2749.00,$0.00,1,$4970.00,3.64%,$5000.00,83.33%,,$2.50,$12.50,
,Sell,4/26/2020,Profit Target,$2849.00,,$5000.00,$54220.00,,($1000.00),100.00%,83.33%,$2.50,$12.50,
47,Buy,4/30/2020,LE,$2883.25,$0.00,1,($1530.00),-1.04%,$412.50,21.57%,,$2.50,$12.50,
,Sell,05/01/2020,Stop Loss,$2853.25,,($1500.00),$52690.00,,($1500.00),0.00%,-78.43%,$2.50,$12.50,
48,Buy,05/03/2020,LE,$2800.75,$0.00,1,$4970.00,3.57%,$5000.00,84.75%,,$2.50,$12.50,
,Sell,05/05/2020,Profit Target,$2900.75,,$5000.00,$57660.00,,($900.00),100.00%,84.75%,$2.50,$12.50,
49,Buy,5/13/2020,LE,$2832.00,$0.00,1,($1530.00),-1.06%,$1675.00,52.76%,,$2.50,$12.50,
,Sell,5/14/2020,Stop Loss,$2802.00,,($1500.00),$56130.00,,($1500.00),0.00%,-47.24%,$2.50,$12.50,
50,Buy,6/18/2020,LE,$3119.00,$0.00,1,($1530.00),-0.96%,$0.00,0.00%,,$2.50,$12.50,
,Sell,6/19/2020,Stop Loss,$3089.00,,($1500.00),$54600.00,,($1500.00),0.00%,-100.00%,$2.50,$12.50,
51,Buy,6/21/2020,LE,$3062.50,$0.00,1,$4970.00,3.27%,$5000.00,88.50%,,$2.50,$12.50,
,Sell,6/23/2020,Profit Target,$3162.50,,$5000.00,$59570.00,,($650.00),100.00%,88.50%,$2.50,$12.50,
52,Buy,6/24/2020,LE,$3069.00,$0.00,1,($1530.00),-0.98%,$1637.50,52.19%,,$2.50,$12.50,
,Sell,6/25/2020,Stop Loss,$3039.00,,($1500.00),$58040.00,,($1500.00),0.00%,-47.81%,$2.50,$12.50,
53,Buy,6/25/2020,LE,$3093.50,$0.00,1,($1530.00),-0.97%,$537.50,26.38%,,$2.50,$12.50,
,Sell,6/26/2020,Stop Loss,$3063.50,,($1500.00),$56510.00,,($1500.00),0.00%,-73.62%,$2.50,$12.50,
54,Buy,6/28/2020,LE,$3008.50,$0.00,1,$4970.00,3.32%,$5000.00,97.32%,,$2.50,$12.50,
,Sell,6/30/2020,Profit Target,$3108.50,,$5000.00,$61480.00,,($137.50),100.00%,97.32%,$2.50,$12.50,
55,Buy,07/07/2020,LE,$3157.50,$0.00,1,($1530.00),-0.95%,$1775.00,54.20%,,$2.50,$12.50,
,Sell,07/09/2020,Stop Loss,$3127.50,,($1500.00),$59950.00,,($1500.00),0.00%,-45.80%,$2.50,$12.50,
56,Buy,07/09/2020,LE,$3164.50,$0.00,1,($1530.00),-0.95%,$0.00,0.00%,,$2.50,$12.50,
,Sell,07/10/2020,Stop Loss,$3134.50,,($1500.00),$58420.00,,($1500.00),0.00%,-100.00%,$2.50,$12.50,
57,Buy,7/13/2020,LE,$3172.00,$0.00,1,($1530.00),-0.95%,$0.00,0.00%,,$2.50,$12.50,
