Performance Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,All Trades,Long Trades,Short Trades,,,,,,,,,,,
5/18/2019 - 5/12/2023,$92897.50,80.05%,1.99,89,51.69%,,,,,,,,,
5/17/2019 - 5/12/2023,$92072.50,78.78%,1.98,89,51.69%,,,,,,,,,
5/16/2019 - 5/12/2023,$93247.50,80.59%,2,89,51.69%,,,,,,,,,
5/15/2019 - 5/12/2023,$94035.00,81.83%,2.02,89,51.69%,,,,,,,,,
5/14/2019 - 5/12/2023,$95647.50,84.42%,2.06,89,51.69%,,,,,,,,,
5/13/2019 - 5/12/2023,$95682.50,84.48%,2.06,89,51.69%,,,,,,,,,
5/12/2019 - 5/12/2023,$95682.50,84.48%,2.06,89,51.69%,,,,,,,,,
5/11/2019 - 5/12/2023,$95682.50,84.48%,2.06,89,51.69%,,,,,,,,,
5/10/2019 - 5/12/2023,$93730.00,81.35%,2.01,90,51.11%,,,,,,,,,
5/9/2019 - 5/12/2023,$93005.00,80.22%,2,90,51.11%,,,,,,,,,
5/8/2019 - 5/12/2023,$93152.50,80.45%,2,90,51.11%,,,,,,,,,
5/7/2019 - 5/12/2023,$93152.50,80.45%,2,90,51.11%,,,,,,,,,
5/6/2019 - 5/12/2023,$93152.50,80.45%,2,90,51.11%,,,,,,,,,
5/5/2019 - 5/12/2023,$91650.00,78.13%,1.97,91,50.55%,,,,,,,,,
5/4/2019 - 5/12/2023,$91650.00,78.13%,1.97,91,50.55%,,,,,,,,,
5/3/2019 - 5/12/2023,$93150.00,80.44%,2,91,50.55%,,,,,,,,,
5/2/2019 - 5/12/2023,$92875.00,80.01%,1.99,91,50.55%,,,,,,,,,
5/1/2019 - 5/12/2023,$93185.00,80.50%,2,91,51.65%,,,,,,,,,
4/30/2019 - 5/12/2023,$93185.00,80.50%,2,91,51.65%,,,,,,,,,
4/29/2019 - 5/12/2023,$93220.00,80.55%,2,92,52.17%,,,,,,,,,
4/28/2019 - 5/12/2023,$93220.00,80.55%,2,92,52.17%,,,,,,,,,
4/27/2019 - 5/12/2023,$93220.00,80.55%,2,92,52.17%,,,,,,,,,
4/26/2019 - 5/12/2023,$93982.50,81.75%,2.01,92,52.17%,,,,,,,,,
4/25/2019 - 5/12/2023,$93757.50,81.39%,2.01,92,52.17%,,,,,,,,,
4/24/2019 - 5/12/2023,$93780.00,81.43%,2.01,92,52.17%,,,,,,,,,
4/23/2019 - 5/12/2023,$93780.00,81.43%,2.01,92,52.17%,,,,,,,,,
4/22/2019 - 5/12/2023,$93780.00,81.43%,2.01,92,52.17%,,,,,,,,,
4/21/2019 - 5/12/2023,$93780.00,81.43%,2.01,92,52.17%,,,,,,,,,
4/20/2019 - 5/12/2023,$93780.00,81.43%,2.01,92,52.17%,,,,,,,,,
4/19/2019 - 5/12/2023,$93780.00,81.43%,2.01,92,52.17%,,,,,,,,,
4/18/2019 - 5/12/2023,$93780.00,81.43%,2.01,92,52.17%,,,,,,,,,
4/17/2019 - 5/12/2023,$93780.00,81.43%,2.01,92,52.17%,,,,,,,,,
4/16/2019 - 5/12/2023,$93802.50,81.46%,2.01,93,52.69%,,,,,,,,,
4/15/2019 - 5/12/2023,$93652.50,81.23%,2,93,51.61%,,,,,,,,,
4/14/2019 - 5/12/2023,$93652.50,81.23%,2,93,51.61%,,,,,,,,,
4/13/2019 - 5/12/2023,$93652.50,81.23%,2,93,51.61%,,,,,,,,,
4/12/2019 - 5/12/2023,$94690.00,82.87%,2.02,93,52.69%,,,,,,,,,
4/11/2019 - 5/12/2023,$94552.50,82.65%,2.02,93,52.69%,,,,,,,,,
4/10/2019 - 5/12/2023,$95152.50,83.62%,2.02,93,52.69%,,,,,,,,,
4/9/2019 - 5/12/2023,$95162.50,83.63%,2.02,93,52.69%,,,,,,,,,
4/8/2019 - 5/12/2023,$95162.50,83.63%,2.02,93,52.69%,,,,,,,,,
4/7/2019 - 5/12/2023,$95162.50,83.63%,2.02,93,52.69%,,,,,,,,,
4/6/2019 - 5/12/2023,$95162.50,83.63%,2.02,93,52.69%,,,,,,,,,
4/5/2019 - 5/12/2023,$95162.50,83.63%,2.02,93,52.69%,,,,,,,,,
4/4/2019 - 5/12/2023,$95162.50,83.63%,2.02,93,52.69%,,,,,,,,,
4/3/2019 - 5/12/2023,$95162.50,83.63%,2.02,93,52.69%,,,,,,,,,
4/2/2019 - 5/12/2023,$95347.50,83.93%,2.02,94,53.19%,,,,,,,,,
4/1/2019 - 5/12/2023,$96985.00,86.62%,2.04,94,53.19%,,,,,,,,,
3/31/2019 - 5/12/2023,$96985.00,86.62%,2.04,94,53.19%,,,,,,,,,
3/30/2019 - 5/12/2023,$96985.00,86.62%,2.04,94,53.19%,,,,,,,,,
3/29/2019 - 5/12/2023,$97822.50,88.03%,2.05,94,53.19%,,,,,,,,,
3/28/2019 - 5/12/2023,$98347.50,88.92%,2.06,94,53.19%,,,,,,,,,
3/27/2019 - 5/12/2023,$97722.50,87.86%,2.05,94,53.19%,,,,,,,,,
3/26/2019 - 5/12/2023,$98522.50,89.22%,2.06,94,53.19%,,,,,,,,,
3/25/2019 - 5/12/2023,$98335.00,88.90%,2.06,94,53.19%,,,,,,,,,
3/24/2019 - 5/12/2023,$98335.00,88.90%,2.06,94,53.19%,,,,,,,,,
3/23/2019 - 5/12/2023,$98335.00,88.90%,2.06,94,53.19%,,,,,,,,,
3/22/2019 - 5/12/2023,$95747.50,84.58%,2.03,94,53.19%,,,,,,,,,
3/21/2019 - 5/12/2023,$97522.50,87.52%,2.05,94,53.19%,,,,,,,,,
3/20/2019 - 5/12/2023,$97047.50,86.73%,2.04,94,53.19%,,,,,,,,,
3/19/2019 - 5/12/2023,$96847.50,86.39%,2.04,94,53.19%,,,,,,,,,
3/18/2019 - 5/12/2023,$97385.00,87.29%,2.05,94,53.19%,,,,,,,,,
3/17/2019 - 5/12/2023,$97385.00,87.29%,2.05,94,53.19%,,,,,,,,,
3/16/2019 - 5/12/2023,$97385.00,87.29%,2.05,94,53.19%,,,,,,,,,
3/15/2019 - 5/12/2023,$98260.00,88.77%,2.06,94,53.19%,,,,,,,,,
3/14/2019 - 5/12/2023,$97897.50,88.16%,2.05,94,53.19%,,,,,,,,,
3/13/2019 - 5/12/2023,$99010.00,90.06%,2.06,94,53.19%,,,,,,,,,
3/12/2019 - 5/12/2023,$99422.50,90.78%,2.07,94,53.19%,,,,,,,,,
3/11/2019 - 5/12/2023,$101272.50,94.05%,2.09,94,53.19%,,,,,,,,,
3/10/2019 - 5/12/2023,$101272.50,94.05%,2.09,94,53.19%,,,,,,,,,
3/9/2019 - 5/12/2023,$101272.50,94.05%,2.09,94,53.19%,,,,,,,,,
3/8/2019 - 5/12/2023,$101122.50,93.78%,2.09,94,53.19%,,,,,,,,,
3/7/2019 - 5/12/2023,$101132.50,93.80%,2.09,94,53.19%,,,,,,,,,
3/6/2019 - 5/12/2023,$101132.50,93.80%,2.09,94,53.19%,,,,,,,,,
3/5/2019 - 5/12/2023,$101132.50,93.80%,2.09,94,53.19%,,,,,,,,,
3/4/2019 - 5/12/2023,$101132.50,93.80%,2.09,94,53.19%,,,,,,,,,
3/3/2019 - 5/12/2023,$101132.50,93.80%,2.09,94,53.19%,,,,,,,,,
3/2/2019 - 5/12/2023,$101132.50,93.80%,2.09,94,53.19%,,,,,,,,,
3/1/2019 - 5/12/2023,$101132.50,93.80%,2.09,94,53.19%,,,,,,,,,
2/28/2019 - 5/12/2023,$101132.50,93.80%,2.09,94,53.19%,,,,,,,,,
2/27/2019 - 5/12/2023,$101305.00,94.11%,2.09,95,53.68%,,,,,,,,,
2/26/2019 - 5/12/2023,$101030.00,93.62%,2.08,95,52.63%,,,,,,,,,
2/25/2019 - 5/12/2023,$101317.50,94.13%,2.09,95,53.68%,,,,,,,,,
2/24/2019 - 5/12/2023,$101317.50,94.13%,2.09,95,53.68%,,,,,,,,,
2/23/2019 - 5/12/2023,$101317.50,94.13%,2.09,95,53.68%,,,,,,,,,
2/22/2019 - 5/12/2023,$102167.50,95.68%,2.1,95,53.68%,,,,,,,,,
2/21/2019 - 5/12/2023,$101530.00,94.52%,2.09,95,53.68%,,,,,,,,,
2/20/2019 - 5/12/2023,$101942.50,95.27%,2.09,95,53.68%,,,,,,,,,
2/19/2019 - 5/12/2023,$102030.00,95.43%,2.1,95,53.68%,,,,,,,,,
2/18/2019 - 5/12/2023,$102030.00,95.43%,2.1,95,53.68%,,,,,,,,,
2/17/2019 - 5/12/2023,$102030.00,95.43%,2.1,95,53.68%,,,,,,,,,
2/16/2019 - 5/12/2023,$102030.00,95.43%,2.1,95,53.68%,,,,,,,,,
2/15/2019 - 5/12/2023,$103705.00,98.54%,2.11,95,53.68%,,,,,,,,,
2/14/2019 - 5/12/2023,$103405.00,97.97%,2.11,95,53.68%,,,,,,,,,
2/13/2019 - 5/12/2023,$103642.50,98.42%,2.11,95,53.68%,,,,,,,,,
2/12/2019 - 5/12/2023,$105467.50,101.92%,2.13,95,53.68%,,,,,,,,,
2/11/2019 - 5/12/2023,$105567.50,102.12%,2.13,95,53.68%,,,,,,,,,
2/10/2019 - 5/12/2023,$105567.50,102.12%,2.13,95,53.68%,,,,,,,,,
2/9/2019 - 5/12/2023,$105567.50,102.12%,2.13,95,53.68%,,,,,,,,,
2/8/2019 - 5/12/2023,$105680.00,102.34%,2.13,95,53.68%,,,,,,,,,
2/7/2019 - 5/12/2023,$104405.00,99.87%,2.12,95,53.68%,,,,,,,,,
2/6/2019 - 5/12/2023,$104330.00,99.73%,2.12,95,53.68%,,,,,,,,,
2/5/2019 - 5/12/2023,$104817.50,100.66%,2.13,95,53.68%,,,,,,,,,
2/4/2019 - 5/12/2023,$105667.50,102.31%,2.13,95,53.68%,,,,,,,,,
2/3/2019 - 5/12/2023,$105902.50,102.77%,2.14,95,53.68%,,,,,,,,,
2/2/2019 - 5/12/2023,$105902.50,102.77%,2.14,95,53.68%,,,,,,,,,
2/1/2019 - 5/12/2023,$105902.50,102.77%,2.14,95,53.68%,,,,,,,,,
1/31/2019 - 5/12/2023,$106837.50,104.63%,2.15,96,54.17%,,,,,,,,,
1/30/2019 - 5/12/2023,$108950.00,108.95%,2.17,96,54.17%,,,,,,,,,
1/29/2019 - 5/12/2023,$108862.50,108.77%,2.17,96,54.17%,,,,,,,,,
1/28/2019 - 5/12/2023,$107787.50,106.55%,2.16,96,54.17%,,,,,,,,,
1/27/2019 - 5/12/2023,$107787.50,106.55%,2.16,96,54.17%,,,,,,,,,
1/26/2019 - 5/12/2023,$107787.50,106.55%,2.16,96,54.17%,,,,,,,,,
1/25/2019 - 5/12/2023,$109262.50,109.61%,2.17,96,54.17%,,,,,,,,,
1/24/2019 - 5/12/2023,$109050.00,109.16%,2.17,96,54.17%,,,,,,,,,
1/23/2019 - 5/12/2023,$109362.50,109.82%,2.17,96,54.17%,,,,,,,,,
1/22/2019 - 5/12/2023,$107387.50,105.74%,2.15,96,54.17%,,,,,,,,,
1/21/2019 - 5/12/2023,$107387.50,105.74%,2.15,96,54.17%,,,,,,,,,
1/20/2019 - 5/12/2023,$107387.50,105.74%,2.15,96,54.17%,,,,,,,,,
1/19/2019 - 5/12/2023,$107387.50,105.74%,2.15,96,54.17%,,,,,,,,,
1/18/2019 - 5/12/2023,$109200.00,109.48%,2.17,96,54.17%,,,,,,,,,
1/17/2019 - 5/12/2023,$110300.00,111.81%,2.18,96,54.17%,,,,,,,,,
1/16/2019 - 5/12/2023,$110687.50,112.65%,2.19,96,54.17%,,,,,,,,,
1/15/2019 - 5/12/2023,$111937.50,115.39%,2.2,96,54.17%,,,,,,,,,
1/14/2019 - 5/12/2023,$111872.50,115.24%,2.2,96,54.17%,,,,,,,,,
1/13/2019 - 5/12/2023,$111872.50,115.24%,2.2,96,54.17%,,,,,,,,,
1/12/2019 - 5/12/2023,$111872.50,115.24%,2.2,96,54.17%,,,,,,,,,
1/11/2019 - 5/12/2023,$111872.50,115.24%,2.2,96,54.17%,,,,,,,,,
1/10/2019 - 5/12/2023,$111872.50,115.24%,2.2,96,54.17%,,,,,,,,,
1/9/2019 - 5/12/2023,$111872.50,115.24%,2.2,96,54.17%,,,,,,,,,
1/8/2019 - 5/12/2023,$112920.00,117.59%,2.21,97,54.64%,,,,,,,,,
1/7/2019 - 5/12/2023,$113882.50,119.79%,2.22,97,54.64%,,,,,,,,,
1/6/2019 - 5/12/2023,$113882.50,119.79%,2.22,97,54.64%,,,,,,,,,
1/5/2019 - 5/12/2023,$113882.50,119.79%,2.22,97,54.64%,,,,,,,,,
1/4/2019 - 5/12/2023,$118057.50,129.89%,2.27,97,54.64%,,,,,,,,,
1/3/2019 - 5/12/2023,$114552.50,121.35%,2.19,98,54.08%,,,,,,,,,
1/2/2019 - 5/12/2023,$114840.00,122.03%,2.19,98,54.08%,,,,,,,,,
1/1/2019 - 5/12/2023,$114840.00,122.03%,2.19,98,54.08%,,,,,,,,,
12/31/2018 - 5/12/2023,$115802.50,124.32%,2.22,98,54.08%,,,,,,,,,
12/30/2018 - 5/12/2023,$115312.50,123.15%,2.21,98,54.08%,,,,,,,,,
12/29/2018 - 5/12/2023,$115312.50,123.15%,2.21,98,54.08%,,,,,,,,,
12/28/2018 - 5/12/2023,$115312.50,123.15%,2.21,98,54.08%,,,,,,,,,
12/27/2018 - 5/12/2023,$115312.50,123.15%,2.21,98,54.08%,,,,,,,,,
12/26/2018 - 5/12/2023,$115312.50,123.15%,2.21,98,54.08%,,,,,,,,,
12/25/2018 - 5/12/2023,$115312.50,123.15%,2.21,98,54.08%,,,,,,,,,
12/24/2018 - 5/12/2023,$115312.50,123.15%,2.21,98,54.08%,,,,,,,,,
12/23/2018 - 5/12/2023,$115312.50,123.15%,2.21,98,54.08%,,,,,,,,,
12/22/2018 - 5/12/2023,$115312.50,123.15%,2.21,98,54.08%,,,,,,,,,
12/21/2018 - 5/12/2023,$115312.50,123.15%,2.21,98,54.08%,,,,,,,,,
12/20/2018 - 5/12/2023,$112810.00,117.34%,2.15,99,53.54%,,,,,,,,,
12/19/2018 - 5/12/2023,$112782.50,117.28%,2.15,99,53.54%,,,,,,,,,
12/18/2018 - 5/12/2023,$112782.50,117.28%,2.15,99,53.54%,,,,,,,,,
12/17/2018 - 5/12/2023,$111442.50,114.29%,2.12,100,53.00%,,,,,,,,,
12/16/2018 - 5/12/2023,$111442.50,114.29%,2.12,100,53.00%,,,,,,,,,
12/15/2018 - 5/12/2023,$111442.50,114.29%,2.12,100,53.00%,,,,,,,,,
12/14/2018 - 5/12/2023,$109242.50,109.57%,2.07,100,53.00%,,,,,,,,,
12/13/2018 - 5/12/2023,$108892.50,108.83%,2.07,100,53.00%,,,,,,,,,
12/12/2018 - 5/12/2023,$109455.00,110.01%,2.08,100,53.00%,,,,,,,,,
12/11/2018 - 5/12/2023,$109367.50,109.83%,2.08,100,53.00%,,,,,,,,,
12/10/2018 - 5/12/2023,$109717.50,110.57%,2.08,100,53.00%,,,,,,,,,
12/9/2018 - 5/12/2023,$110252.50,111.71%,2.09,100,53.00%,,,,,,,,,
12/8/2018 - 5/12/2023,$110252.50,111.71%,2.09,100,53.00%,,,,,,,,,
12/7/2018 - 5/12/2023,$110252.50,111.71%,2.09,100,53.00%,,,,,,,,,
12/6/2018 - 5/12/2023,$107625.00,106.22%,2.04,101,52.48%,,,,,,,,,
12/5/2018 - 5/12/2023,$107625.00,106.22%,2.04,101,52.48%,,,,,,,,,
12/4/2018 - 5/12/2023,$107722.50,106.42%,2.04,101,52.48%,,,,,,,,,
12/3/2018 - 5/12/2023,$107722.50,106.42%,2.04,101,52.48%,,,,,,,,,
12/2/2018 - 5/12/2023,$107722.50,106.42%,2.04,101,52.48%,,,,,,,,,
12/1/2018 - 5/12/2023,$107722.50,106.42%,2.04,101,52.48%,,,,,,,,,
11/30/2018 - 5/12/2023,$108482.50,107.98%,2.05,102,52.94%,,,,,,,,,
11/29/2018 - 5/12/2023,$108620.00,108.27%,2.05,102,52.94%,,,,,,,,,
11/28/2018 - 5/12/2023,$111520.00,114.46%,2.08,102,52.94%,,,,,,,,,
11/27/2018 - 5/12/2023,$112195.00,115.96%,2.09,102,52.94%,,,,,,,,,
11/26/2018 - 5/12/2023,$114220.00,120.58%,2.11,102,52.94%,,,,,,,,,
11/25/2018 - 5/12/2023,$114220.00,120.58%,2.11,102,52.94%,,,,,,,,,
11/24/2018 - 5/12/2023,$114220.00,120.58%,2.11,102,52.94%,,,,,,,,,
11/23/2018 - 5/12/2023,$113245.00,118.33%,2.1,102,52.94%,,,,,,,,,
11/22/2018 - 5/12/2023,$113245.00,118.33%,2.1,102,52.94%,,,,,,,,,
11/21/2018 - 5/12/2023,$113695.00,119.36%,2.1,102,52.94%,,,,,,,,,
11/20/2018 - 5/12/2023,$110677.50,112.63%,2.04,103,52.43%,,,,,,,,,
11/19/2018 - 5/12/2023,$110662.50,112.59%,2.04,103,52.43%,,,,,,,,,
11/18/2018 - 5/12/2023,$110662.50,112.59%,2.04,103,52.43%,,,,,,,,,
11/17/2018 - 5/12/2023,$110662.50,112.59%,2.04,103,52.43%,,,,,,,,,
11/16/2018 - 5/12/2023,$110662.50,112.59%,2.04,103,52.43%,,,,,,,,,
11/15/2018 - 5/12/2023,$109285.00,109.66%,2.02,104,51.92%,,,,,,,,,
11/14/2018 - 5/12/2023,$107835.00,106.65%,1.99,104,51.92%,,,,,,,,,
11/13/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
11/12/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
11/11/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
11/10/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
11/9/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
11/8/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
11/7/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
11/6/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
11/5/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
11/4/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
11/3/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
11/2/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
11/1/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/31/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/30/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/29/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/28/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/27/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/26/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/25/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/24/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/23/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/22/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/21/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/20/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/19/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/18/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/17/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/16/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/15/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/14/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/13/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/12/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/11/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/10/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/9/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/8/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/7/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/6/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/5/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/4/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/3/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/2/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/1/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/30/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/29/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/28/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/27/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/26/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/25/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/24/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/23/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/22/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/21/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/20/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/19/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/18/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/17/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/16/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/15/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/14/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/13/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/12/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/11/2018 - 5/12/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/10/2018 - 5/12/2023,$107867.50,106.71%,1.99,105,52.38%,,,,,,,,,
9/9/2018 - 5/12/2023,$107867.50,106.71%,1.99,105,52.38%,,,,,,,,,
9/8/2018 - 5/12/2023,$107867.50,106.71%,1.99,105,52.38%,,,,,,,,,
9/7/2018 - 5/12/2023,$107655.00,106.28%,1.98,105,52.38%,,,,,,,,,
9/6/2018 - 5/12/2023,$107192.50,105.34%,1.98,105,51.43%,,,,,,,,,
9/5/2018 - 5/12/2023,$106692.50,104.34%,1.97,105,51.43%,,,,,,,,,
9/4/2018 - 5/12/2023,$106505.00,103.97%,1.96,105,51.43%,,,,,,,,,
9/3/2018 - 5/12/2023,$106505.00,103.97%,1.96,105,51.43%,,,,,,,,,
9/2/2018 - 5/12/2023,$106505.00,103.97%,1.96,105,51.43%,,,,,,,,,
9/1/2018 - 5/12/2023,$106505.00,103.97%,1.96,105,51.43%,,,,,,,,,
8/31/2018 - 5/12/2023,$106505.00,103.97%,1.96,105,51.43%,,,,,,,,,
8/30/2018 - 5/12/2023,$105867.50,102.70%,1.95,105,51.43%,,,,,,,,,
8/29/2018 - 5/12/2023,$106642.50,104.24%,1.97,105,51.43%,,,,,,,,,
8/28/2018 - 5/12/2023,$106680.00,104.31%,1.97,105,51.43%,,,,,,,,,
8/27/2018 - 5/12/2023,$107767.50,106.51%,1.99,105,52.38%,,,,,,,,,
8/26/2018 - 5/12/2023,$107767.50,106.51%,1.99,105,52.38%,,,,,,,,,
8/25/2018 - 5/12/2023,$107767.50,106.51%,1.99,105,52.38%,,,,,,,,,
8/24/2018 - 5/12/2023,$108705.00,108.44%,1.99,105,52.38%,,,,,,,,,
8/23/2018 - 5/12/2023,$108677.50,108.38%,1.99,105,52.38%,,,,,,,,,
8/22/2018 - 5/12/2023,$108677.50,108.38%,1.99,105,52.38%,,,,,,,,,
8/21/2018 - 5/12/2023,$108677.50,108.38%,1.99,105,52.38%,,,,,,,,,
8/20/2018 - 5/12/2023,$108677.50,108.38%,1.99,105,52.38%,,,,,,,,,
8/19/2018 - 5/12/2023,$108677.50,108.38%,1.99,105,52.38%,,,,,,,,,
8/18/2018 - 5/12/2023,$108677.50,108.38%,1.99,105,52.38%,,,,,,,,,
8/17/2018 - 5/12/2023,$108677.50,108.38%,1.99,105,52.38%,,,,,,,,,
8/16/2018 - 5/12/2023,$108677.50,108.38%,1.99,105,52.38%,,,,,,,,,
8/15/2018 - 5/12/2023,$108677.50,108.38%,1.99,105,52.38%,,,,,,,,,
8/14/2018 - 5/12/2023,$109475.00,110.06%,2,106,52.83%,,,,,,,,,
8/13/2018 - 5/12/2023,$108912.50,108.87%,2,106,52.83%,,,,,,,,,
8/12/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
8/11/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
8/10/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
8/9/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
8/8/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
8/7/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
8/6/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
8/5/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
8/4/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
8/3/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
8/2/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
8/1/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/31/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/30/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/29/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/28/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/27/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/26/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
