

Performance Summary

,All Trades,Long Trades,Short Trades,
12/08/2013 - 17/05/2023,$108962.50,101.83%,2.23,183,58.47%,
11/08/2013 - 17/05/2023,$108962.50,101.83%,2.23,183,58.47%,
10/08/2013 - 17/05/2023,$108962.50,101.83%,2.23,183,58.47%,
09/08/2013 - 17/05/2023,$108962.50,101.83%,2.23,183,58.47%,
08/08/2013 - 17/05/2023,$108962.50,101.83%,2.23,183,58.47%,
07/08/2013 - 17/05/2023,$108962.50,101.83%,2.23,183,58.47%,
06/08/2013 - 17/05/2023,$108962.50,101.83%,2.23,183,58.47%,
05/08/2013 - 17/05/2023,$108182.50,100.37%,2.21,184,58.15%,
04/08/2013 - 17/05/2023,$108020.00,100.07%,2.21,184,58.15%,
03/08/2013 - 17/05/2023,$108020.00,100.07%,2.21,184,58.15%,
02/08/2013 - 17/05/2023,$107257.50,98.67%,2.19,184,58.15%,
01/08/2013 - 17/05/2023,$109195.00,102.27%,2.23,184,58.70%,
31/07/2013 - 17/05/2023,$108777.50,101.48%,2.23,184,58.15%,
30/07/2013 - 17/05/2023,$108777.50,101.48%,2.23,184,58.15%,
29/07/2013 - 17/05/2023,$108777.50,101.48%,2.23,184,58.15%,
28/07/2013 - 17/05/2023,$108777.50,101.48%,2.23,184,58.15%,
27/07/2013 - 17/05/2023,$108777.50,101.48%,2.23,184,58.15%,
26/07/2013 - 17/05/2023,$108197.50,100.40%,2.21,185,57.84%,
25/07/2013 - 17/05/2023,$107085.00,98.35%,2.18,185,57.84%,
24/07/2013 - 17/05/2023,$107535.00,99.17%,2.20,185,57.84%,
23/07/2013 - 17/05/2023,$107672.50,99.43%,2.20,185,57.84%,
22/07/2013 - 17/05/2023,$107247.50,98.65%,2.19,185,57.84%,
21/07/2013 - 17/05/2023,$106435.00,97.17%,2.17,185,57.84%,
20/07/2013 - 17/05/2023,$106435.00,97.17%,2.17,185,57.84%,
19/07/2013 - 17/05/2023,$106672.50,97.60%,2.17,185,57.84%,
18/07/2013 - 17/05/2023,$107385.00,98.90%,2.19,185,57.84%,
17/07/2013 - 17/05/2023,$107797.50,99.66%,2.20,185,57.84%,
16/07/2013 - 17/05/2023,$107447.50,99.01%,2.19,185,57.84%,
15/07/2013 - 17/05/2023,$107442.50,99.00%,2.19,185,57.84%,
14/07/2013 - 17/05/2023,$107442.50,99.00%,2.19,185,57.84%,
13/07/2013 - 17/05/2023,$107442.50,99.00%,2.19,185,57.84%,
12/07/2013 - 17/05/2023,$107442.50,99.00%,2.19,185,57.84%,
11/07/2013 - 17/05/2023,$106437.50,97.18%,2.17,186,57.53%,
10/07/2013 - 17/05/2023,$104250.00,93.32%,2.12,186,57.53%,
09/07/2013 - 17/05/2023,$104175.00,93.19%,2.12,186,57.53%,
08/07/2013 - 17/05/2023,$104287.50,93.38%,2.12,186,57.53%,
07/07/2013 - 17/05/2023,$104237.50,93.30%,2.12,186,57.53%,
06/07/2013 - 17/05/2023,$104237.50,93.30%,2.12,186,57.53%,
05/07/2013 - 17/05/2023,$105200.00,94.98%,2.14,186,57.53%,
04/07/2013 - 17/05/2023,$105645.00,95.76%,2.15,186,57.53%,
03/07/2013 - 17/05/2023,$104715.00,94.13%,2.13,187,57.22%,
02/07/2013 - 17/05/2023,$105890.00,96.20%,2.15,187,57.75%,
01/07/2013 - 17/05/2023,$106252.50,96.85%,2.16,187,57.75%,
30/06/2013 - 17/05/2023,$106477.50,97.25%,2.16,187,57.75%,
29/06/2013 - 17/05/2023,$106477.50,97.25%,2.16,187,57.75%,
28/06/2013 - 17/05/2023,$106965.00,98.13%,2.16,187,57.75%,
27/06/2013 - 17/05/2023,$108165.00,100.34%,2.18,187,57.75%,
26/06/2013 - 17/05/2023,$108102.50,100.22%,2.18,187,57.75%,
25/06/2013 - 17/05/2023,$108260.00,100.52%,2.18,187,57.75%,
24/06/2013 - 17/05/2023,$108260.00,100.52%,2.18,187,57.75%,
23/06/2013 - 17/05/2023,$108260.00,100.52%,2.18,187,57.75%,
22/06/2013 - 17/05/2023,$108260.00,100.52%,2.18,187,57.75%,
21/06/2013 - 17/05/2023,$108242.50,100.48%,2.18,188,57.45%,
20/06/2013 - 17/05/2023,$108930.00,101.77%,2.19,188,57.98%,
19/06/2013 - 17/05/2023,$110280.00,104.35%,2.20,188,57.98%,
18/06/2013 - 17/05/2023,$111150.00,106.04%,2.21,188,57.98%,
17/06/2013 - 17/05/2023,$111232.50,106.21%,2.21,189,58.20%,
16/06/2013 - 17/05/2023,$111995.00,107.72%,2.22,189,58.20%,
15/06/2013 - 17/05/2023,$111995.00,107.72%,2.22,189,58.20%,
14/06/2013 - 17/05/2023,$110957.50,105.67%,2.21,189,57.67%,
13/06/2013 - 17/05/2023,$111257.50,106.26%,2.21,189,58.20%,
12/06/2013 - 17/05/2023,$108670.00,101.28%,2.15,189,57.67%,
11/06/2013 - 17/05/2023,$105495.00,95.50%,2.08,189,57.67%,
10/06/2013 - 17/05/2023,$105777.50,96.00%,2.09,189,57.67%,
09/06/2013 - 17/05/2023,$105777.50,96.00%,2.09,189,57.67%,
08/06/2013 - 17/05/2023,$105777.50,96.00%,2.09,189,57.67%,
07/06/2013 - 17/05/2023,$105777.50,96.00%,2.09,189,57.67%,
06/06/2013 - 17/05/2023,$105777.50,96.00%,2.09,189,57.67%,
05/06/2013 - 17/05/2023,$105777.50,96.00%,2.09,189,57.67%,
04/06/2013 - 17/05/2023,$105472.50,95.46%,2.08,190,57.37%,
03/06/2013 - 17/05/2023,$106672.50,97.60%,2.10,190,57.89%,
02/06/2013 - 17/05/2023,$106485.00,97.26%,2.10,190,57.89%,
01/06/2013 - 17/05/2023,$106485.00,97.26%,2.10,190,57.89%,
31/05/2013 - 17/05/2023,$107172.50,98.51%,2.10,190,57.89%,
30/05/2013 - 17/05/2023,$107497.50,99.11%,2.11,190,57.89%,
29/05/2013 - 17/05/2023,$108535.00,101.03%,2.12,190,57.89%,
28/05/2013 - 17/05/2023,$108097.50,100.21%,2.11,190,57.89%,
27/05/2013 - 17/05/2023,$107172.50,98.51%,2.10,190,57.89%,
26/05/2013 - 17/05/2023,$107310.00,98.76%,2.10,190,57.89%,
25/05/2013 - 17/05/2023,$107310.00,98.76%,2.10,190,57.89%,
24/05/2013 - 17/05/2023,$108772.50,101.47%,2.12,190,57.89%,
23/05/2013 - 17/05/2023,$109972.50,103.75%,2.13,190,57.89%,
22/05/2013 - 17/05/2023,$109035.00,101.97%,2.12,190,57.89%,
21/05/2013 - 17/05/2023,$109110.00,102.11%,2.12,190,57.89%,
20/05/2013 - 17/05/2023,$108692.50,101.32%,2.12,190,57.89%,
19/05/2013 - 17/05/2023,$108692.50,101.32%,2.12,190,57.89%,
18/05/2013 - 17/05/2023,$108692.50,101.32%,2.12,190,57.89%,
17/05/2013 - 17/05/2023,$108692.50,101.32%,2.12,190,57.89%,
16/05/2013 - 17/05/2023,$108692.50,101.32%,2.12,190,57.89%,
15/05/2013 - 17/05/2023,$108692.50,101.32%,2.12,190,57.89%,
14/05/2013 - 17/05/2023,$108692.50,101.32%,2.12,190,57.89%,
13/05/2013 - 17/05/2023,$108692.50,101.32%,2.12,190,57.89%,
12/05/2013 - 17/05/2023,$108692.50,101.32%,2.12,190,57.89%,
11/05/2013 - 17/05/2023,$108692.50,101.32%,2.12,190,57.89%,
10/05/2013 - 17/05/2023,$109262.50,102.40%,2.12,191,58.12%,
09/05/2013 - 17/05/2023,$112125.00,107.98%,2.15,191,58.12%,
08/05/2013 - 17/05/2023,$111787.50,107.30%,2.15,191,58.12%,
07/05/2013 - 17/05/2023,$111975.00,107.68%,2.15,191,58.12%,
06/05/2013 - 17/05/2023,$111812.50,107.35%,2.15,191,58.12%,
05/05/2013 - 17/05/2023,$111925.00,107.58%,2.15,191,58.12%,
04/05/2013 - 17/05/2023,$111925.00,107.58%,2.15,191,58.12%,
03/05/2013 - 17/05/2023,$113175.00,110.10%,2.16,191,58.12%,
02/05/2013 - 17/05/2023,$113407.50,110.58%,2.17,191,58.12%,
01/05/2013 - 17/05/2023,$113407.50,110.58%,2.17,191,58.12%,
30/04/2013 - 17/05/2023,$113407.50,110.58%,2.17,191,58.12%,
29/04/2013 - 17/05/2023,$113407.50,110.58%,2.17,191,58.12%,
28/04/2013 - 17/05/2023,$113407.50,110.58%,2.17,191,58.12%,
27/04/2013 - 17/05/2023,$113407.50,110.58%,2.17,191,58.12%,
26/04/2013 - 17/05/2023,$112177.50,108.08%,2.14,192,57.81%,
25/04/2013 - 17/05/2023,$111790.00,107.31%,2.13,192,57.81%,
24/04/2013 - 17/05/2023,$111777.50,107.28%,2.13,192,57.81%,
23/04/2013 - 17/05/2023,$112165.00,108.06%,2.14,192,57.81%,
22/04/2013 - 17/05/2023,$111302.50,106.34%,2.12,192,57.81%,
21/04/2013 - 17/05/2023,$111665.00,107.06%,2.13,192,57.81%,
20/04/2013 - 17/05/2023,$111665.00,107.06%,2.13,192,57.81%,
19/04/2013 - 17/05/2023,$113277.50,110.31%,2.16,192,57.81%,
18/04/2013 - 17/05/2023,$113640.00,111.06%,2.17,192,58.33%,
17/04/2013 - 17/05/2023,$113247.50,110.25%,2.16,192,57.81%,
16/04/2013 - 17/05/2023,$112030.00,107.79%,2.14,193,57.51%,
15/04/2013 - 17/05/2023,$113992.50,111.79%,2.17,193,58.03%,
14/04/2013 - 17/05/2023,$113805.00,111.40%,2.17,193,58.03%,
13/04/2013 - 17/05/2023,$113805.00,111.40%,2.17,193,58.03%,
12/04/2013 - 17/05/2023,$114725.00,113.32%,2.18,193,58.03%,
11/04/2013 - 17/05/2023,$114725.00,113.32%,2.18,193,58.03%,
10/04/2013 - 17/05/2023,$114725.00,113.32%,2.18,193,58.03%,
09/04/2013 - 17/05/2023,$114725.00,113.32%,2.18,193,58.03%,
08/04/2013 - 17/05/2023,$114725.00,113.32%,2.18,193,58.03%,
07/04/2013 - 17/05/2023,$114725.00,113.32%,2.18,193,58.03%,
06/04/2013 - 17/05/2023,$114725.00,113.32%,2.18,193,58.03%,
05/04/2013 - 17/05/2023,$114725.00,113.32%,2.18,193,58.03%,
04/04/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
03/04/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
02/04/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
01/04/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
31/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
30/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
29/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
28/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
27/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
26/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
25/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
24/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
23/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
22/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
21/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
20/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
19/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
18/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
17/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
16/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
15/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
14/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
13/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
12/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
11/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
10/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
09/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
08/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
07/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
06/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
05/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
04/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
03/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
02/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
01/03/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
28/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
27/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
26/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
25/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
24/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
23/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
22/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
21/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
20/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
19/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
18/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
17/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
16/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
15/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
14/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
13/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
12/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
11/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
10/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
09/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
08/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
07/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
06/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
05/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
04/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
03/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
02/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
01/02/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
31/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
30/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
29/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
28/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
27/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
26/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
25/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
24/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
23/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
22/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
21/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
20/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
19/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
18/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
17/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
16/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
15/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
14/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
13/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
12/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
11/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
10/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
09/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
08/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
07/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
06/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
05/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
04/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
03/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
02/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
01/01/2013 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
31/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
30/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
29/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
28/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
27/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
26/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
25/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
24/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
23/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
22/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
21/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
20/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
19/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
18/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
17/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
16/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
15/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
14/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
13/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
12/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
11/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
10/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
09/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
08/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
07/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
06/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
05/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
04/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
03/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
02/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
01/12/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
30/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
29/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
28/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
27/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
26/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
25/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
24/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
23/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
22/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
21/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
20/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
19/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
18/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
17/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
16/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
15/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
14/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
13/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
12/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
11/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
10/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
09/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
08/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
07/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
06/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
05/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
04/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
03/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
02/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
01/11/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
31/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
30/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
29/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
28/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
27/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
26/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
25/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
24/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
23/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
22/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
21/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
20/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
19/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
18/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
17/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
16/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
15/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
14/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
13/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
12/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
11/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
10/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
09/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
08/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
07/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
06/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
05/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
04/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
03/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
02/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
01/10/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
30/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
29/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
28/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
27/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
26/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
25/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
24/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
23/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
22/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
21/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
20/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
19/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
18/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
17/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
16/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
15/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
14/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
13/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
12/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
11/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
10/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
09/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
08/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
07/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
06/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
05/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
04/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
03/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
02/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
01/09/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
31/08/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
30/08/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
29/08/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
28/08/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
27/08/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
26/08/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
25/08/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
24/08/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
23/08/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
22/08/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
21/08/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
20/08/2012 - 17/05/2023,$115965.00,115.96%,2.19,194,58.25%,
